,reward1,reward2,reward3,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,energy,power
129,147.222222,81.415215,45.023348,1.0,4.0,32.0,4096.0,4.0,2.0,8.0,3.2,0.000129,92.767,1.1568843839999998,8.968096
130,148.964497,116.842714,91.647474,1.0,128.0,32.0,64.0,4.0,2.0,8.0,2.6,0.000171,52.936,0.672371487,3.931997
131,195.155039,97.455109,48.666426,2.0,128.0,32.0,64.0,4.0,2.0,8.0,2.3,0.000169,13.912,0.3264503709999999,1.931659
132,147.222222,104.853478,74.677938,1.0,128.0,32.0,128.0,2.0,16.0,4.0,3.2,0.000129,25.206,0.4692574949999999,3.637655
133,148.964497,75.33723,38.101012,1.0,128.0,4096.0,128.0,2.0,2.0,4.0,2.3,0.000171,18.278,0.405372942,2.370602
134,195.155039,98.871633,50.091455,2.0,128.0,4.0,64.0,4.0,2.0,4.0,3.2,0.000169,51.07,0.7852377129999998,4.646376999999999
135,148.964497,118.155964,93.719189,1.0,32.0,32.0,128.0,2.0,2.0,8.0,2.6,0.000129,24.629,0.4559078009999999,3.534169
136,147.222222,116.224964,91.754098,1.0,128.0,16.0,128.0,2.0,2.0,8.0,3.2,0.000169,14.053,0.3192340034,1.8889586
137,0.0,0.0,0.0,2.0,1024.0,4.0,8192.0,16.0,2.0,8.0,2.2,0.000171,14.466,0.3299298452999999,1.9294143
138,147.222222,110.025737,82.227143,1.0,128.0,256.0,128.0,8.0,2.0,8.0,3.2,0.0,0.0,0.0,0.0
139,148.964497,85.902503,49.536904,1.0,2048.0,32.0,64.0,2.0,2.0,8.0,2.2,0.000171,17.725,0.368155989,2.152959
140,147.222222,119.060506,96.285763,1.0,4.0,4.0,128.0,4.0,2.0,8.0,3.6,0.000169,27.554,0.6039608769999999,3.573733
141,148.964497,85.391737,48.949575,1.0,2048.0,32.0,128.0,2.0,8.0,1.0,2.0,0.000171,13.958,0.3144017799,1.8386069
