,reward1,reward2,latency,Area,energy,power,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,best_reward
209,20.46748,44.776774,0.00123,12.707,2.222873958,1.8072146,1,16,64,128,1,1,1,2.6,59.39713266666664
210,100.7,31.84902,0.00025,142.55,4.393678749999999,17.574714999999998,9,256,64,2048,8,4,2,3.3,59.39713266666664
211,74.482249,38.381388,0.000338,64.862,3.025374118,8.950811,5,16,32,256,1,8,1,2.0,59.39713266666664
212,20.46748,44.876947,0.00123,12.915,2.212961388,1.7991556,1,32,32,128,1,1,2,2.6,59.39713266666664
213,100.7,34.099446,0.00025,114.3,3.832885,15.33154,9,16,32,128,8,1,2,2.9,59.39713266666664
214,20.46748,40.84918,0.00123,16.218,2.67087612,2.171444,1,128,32,128,1,8,8,2.5,59.39713266666664
215,20.46748,42.467593,0.00123,14.079,2.4711843900000003,2.009093,1,16,32,64,1,8,1,2.5,59.39713266666664
216,100.7,33.027751,0.00025,130.24,4.085662,16.342648,9,16,64,2048,8,2,2,2.9,60.90938966666666
217,20.46748,41.862103,0.00123,14.369,2.54318736,2.067632,1,16,32,128,1,8,1,2.2,60.90938966666666
218,20.46748,44.694669,0.00123,12.999,2.231048415,1.8138605,1,16,32,64,1,1,8,2.6,60.90938966666666
219,100.7,33.864361,0.00025,115.8,3.8862852500000007,15.545141,9,4,64,128,8,2,2,2.2,60.90938966666666
220,20.46748,35.9538,0.00123,22.74,3.44771091,2.803017,1,1024,32,128,1,1,1,2.6,60.90938966666666
221,20.46748,40.736289,0.00123,15.49,2.68570008,2.183496,1,256,32,128,1,8,1,2.5,60.90938966666666
222,100.7,32.900523,0.00025,125.42,4.117322000000001,16.469288000000002,9,16,256,128,8,2,2,2.9,60.90938966666666
223,20.46748,40.745322,0.00123,16.451,2.68450944,2.182528,1,16,32,128,8,8,1,2.1,60.90938966666666
224,20.434253,40.297297,0.001232,19.053,2.7445339152,2.2277061,1,16,32,1024,1,1,8,3.5,60.90938966666666
225,100.7,25.511348,0.00025,237.09,6.847840499999999,27.391362,9,2048,64,128,8,16,2,2.4,60.90938966666666
226,6.267115,12.442728,0.004017,49.078,28.786524975,7.166175,4,128,128,128,1,4,1,2.2,60.90938966666666
227,20.434253,43.085203,0.001232,15.556,2.400845216,1.948738,1,128,32,128,8,1,2,3.3,60.90938966666666
228,100.7,33.753748,0.00025,118.53,3.911797999999999,15.647192,9,16,64,512,8,2,2,2.9,60.90938966666666
229,20.46748,45.085189,0.00123,12.237,2.192565897,1.7825739,1,16,32,64,2,1,1,2.0,60.90938966666666
230,20.46748,45.178194,0.00123,12.163,2.183547783,1.7752421,1,16,32,64,1,1,1,2.1,60.90938966666666
