,reward,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,power
506,44.247787610619476,6,64,8,64,2,4,2,3.0,0.000226,66.485,10.003440999999999
507,58.47953216374268,1,32,16,64,4,4,4,3.1,0.000171,13.194,1.836041
508,59.1715976331361,1,32,8,64,2,4,4,2.8,0.000169,12.955,1.833248
509,52.63157894736842,4,64,8,256,2,4,2,3.0,0.00019,46.269,6.823125999999999
510,58.47953216374268,1,32,32,1024,2,4,2,3.0,0.000171,22.178,2.302653
511,59.1715976331361,1,32,16,512,2,4,4,2.9,0.000169,16.26,2.017812
512,77.51937984496125,2,32,16,64,2,4,4,3.1,0.000129,23.676,3.447006
513,58.47953216374268,1,32,8,128,2,4,2,3.0,0.000171,13.087,1.8307630000000001
514,67.11409395973155,3,64,16,512,4,4,2,2.9,0.000149,37.747,5.283743
515,59.1715976331361,1,64,4,1024,2,4,4,2.7,0.000169,22.1,2.314546
516,52.63157894736842,4,32,16,64,4,4,4,2.8,0.00019,45.811,6.734487
517,59.1715976331361,1,64,8,128,2,4,4,2.9,0.000169,13.52,1.8798419999999998
518,58.47953216374268,1,64,8,64,4,4,4,3.0,0.000171,13.276,1.855887
519,59.1715976331361,1,32,32,64,4,4,4,2.9,0.000169,13.261,1.852567
520,58.47953216374268,1,32,8,128,2,4,4,3.0,0.000171,13.388,1.853858
521,58.47953216374268,1,64,8,64,2,4,4,3.1,0.000171,13.087,1.843544
522,51.282051282051285,5,64,16,512,2,4,4,3.0,0.000195,59.582,8.608569000000001
523,58.47953216374268,1,64,8,1024,2,4,4,3.0,0.000171,22.119,2.301017
524,51.282051282051285,5,32,16,64,4,2,2,3.0,0.000195,55.469,8.30454
525,59.1715976331361,1,64,8,64,2,4,2,2.9,0.000169,12.68,1.833668
526,58.47953216374268,1,32,16,1024,2,4,2,3.0,0.000171,22.08,2.29307
527,44.247787610619476,6,64,16,64,2,4,4,3.1,0.000226,67.11,10.043421
528,58.47953216374268,1,32,16,64,4,4,4,3.0,0.000171,13.194,1.8394629999999998
529,58.47953216374268,1,16,16,128,2,4,4,3.1,0.000171,13.36,1.845872
530,58.47953216374268,1,32,16,64,2,4,4,3.1,0.000171,12.99,1.826486
531,44.247787610619476,6,32,8,64,2,4,4,3.0,0.000226,66.096,9.933076999999999
